feature,importance
target_zscore_96,71.3166479272837
target_diff_96,25.630518367811987
target_diff_48,20.222159233697447
target_diff_24,18.795015761480528
target_diff_1,16.87128404596067
target_zscore_48,13.45706600018279
target_diff_12,12.799473791940692
target_diff_4,6.5163286150027355
target_zscore_24,4.937652924933598
target_rolling_std_96,4.285651779313757
target_zscore_12,3.190876686952086
return_rolling_std_96,2.9656650724343976
volatility_96,1.309657017473145
target_lag_96,1.2981688742315969
drawdown_96,1.0245067675176234
target_rolling_std_48,0.9307973064457471
target_rolling_min_96,0.8301964126817314
target_lag_48,0.7893013393375207
target_rolling_min_48,0.7408851801199425
BB_width_10,0.7075628806129881
target_lag_24,0.6908863362290029
BB_width_20,0.6007196507487294
hl_volatility_12,0.6003566158836087
target_zscore_8,0.5942240489805486
target_lag_12,0.5861869413305786
target_rolling_min_8,0.49926931559208754
hl_volatility_96,0.4737404076629611
GK_volatility,0.4733289352780794
target_rolling_max_96,0.45565100433059114
target_rolling_range_24,0.4189325341802146
target_q75_96,0.3760356101974125
return_lag_3,0.3606370438097586
return_1,0.34974430373185994
target_zscore_4,0.34937464753554015
target_rolling_std_24,0.3486210785533457
RSI_return_interact,0.29707369652995025
BB_width_40,0.29294260519254145
close_EMA_ratio_48,0.27696608469812745
target_rolling_max_48,0.2585998739418347
drawdown_48,0.2234050462832759
return_96,0.22202238244552963
RSI_vol_interact,0.21949430578007245
target_rolling_min_12,0.21389919604785357
target_rolling_min_24,0.2061148099845509
ATR_return_interact,0.2007250356695217
hl_volatility_48,0.19898939362194845
return_rolling_std_48,0.19208926497100476
target_q25_96,0.19145838131206225
target_rolling_range_96,0.18368848795796922
target_rolling_range_48,0.18058714689070143
ATR_ratio_28,0.17922541528267644
target_q25_48,0.17430193347146528
high_low_ratio,0.17400531043905332
target_q75_48,0.17254975638450532
price_change_pct,0.16002256438496687
target_rolling_std_12,0.15873149617554816
hl_volatility_24,0.14987907210991702
target_rolling_range_12,0.1468503280867397
close_SMA_ratio_96,0.13968566357112522
week_of_year_sin,0.13958003981364708
close_open_ratio,0.12867639275556808
return_12,0.11973938960986885
target_rolling_std_4,0.1118935639589651
target_rolling_min_4,0.10653117981534166
target_rolling_mean_96,0.1054640105128436
return_rolling_std_12,0.10478751006143838
target_rolling_median_4,0.10447687928857619
return_lag_1,0.10408554925626334
momentum_ratio_96,0.09955500023356123
return_rolling_mean_96,0.08690033799839991
momentum_96,0.08460531952713568
target_lag_4,0.08291022247516001
info_ratio_96,0.07856960428570359
target_rolling_max_24,0.0777301897915379
close_EMA_ratio_96,0.07350442510120203
hl_volatility_4,0.07212840302649504
target_rolling_std_8,0.07092162116832768
log_return_1,0.07020212143137705
ATR_ratio_7,0.06981709138879033
low_open_ratio,0.06901969063337887
volatility_48,0.06017880252429186
high_close_ratio,0.0598230016478567
return_volume,0.058198043883337824
target_rolling_range_4,0.051393039602603
log_return_96,0.05104818092851726
volume_ratio_12,0.04818825362769985
return_lag_6,0.04777711054261791
momentum_ratio_48,0.046382315489278625
momentum_ratio_12,0.040317816082648505
target_lag_2,0.0387911180768753
close_SMA_ratio_24,0.038605908922818344
momentum_12_change,0.03681295515279093
sharpe_approx_96,0.03641351147901628
return_kurt_24,0.03414147557601055
target_q75_24,0.03374339946159244
info_ratio_48,0.032301373205369674
return_48,0.03145449884457463
volume_ratio_24,0.03121415889860657
body_to_range,0.030306866709093827
target_rolling_range_8,0.03018373935594809
return_lag_5,0.029981125146138154
volume_ratio_96,0.029608530579160686
target_q25_24,0.029274599444498728
target_lag_32,0.0271320336992531
momentum_vol_interact,0.025600525386117567
target_rolling_max_4,0.02526134211563219
upper_shadow_ratio,0.025248309642193156
close_lag_1,0.023499087298525012
typical_price,0.02260287267057004
momentum_ratio_4,0.022404449325165388
momentum_24_change,0.02231696709327169
return_skew_96,0.0222733152505373
volatility_24,0.022171962095086872
volume_std_4,0.021554374809490184
vol_ratio_24_96,0.021535709057043384
return_rolling_mean_8,0.021364876874705896
EMA_cross_12_48,0.021254558366607057
return_lag_2,0.02098340830577783
SMA_slope_4,0.01981813190314341
close_EMA_ratio_24,0.019728363887226763
return_384,0.019181814315518686
return_rolling_std_24,0.01882496428755656
log_return_4,0.01747280221809433
OBV_ratio,0.017401663595693506
close_lag_3,0.017132386581283354
return_24,0.01669618293493791
price_range,0.01658723436584353
ATR_ratio_14,0.01655159565289921
ATR_28,0.01654222115692397
return_rolling_mean_48,0.01646428357018692
price_volume_corr_12,0.016007771792885706
return_kurt_96,0.01589066439897175
target_kurt_24,0.015635838120045875
target_lag_20,0.015534919327205835
volume_std_12,0.014604965412999604
RSI_14_change,0.014492793716597063
range_volatility_48,0.014490663085851452
day_of_month_sin,0.01443033726962726
info_ratio_24,0.014429078043032284
SMA_slope_96,0.014366075515496846
close_zscore_96,0.014345581088619497
return_lag_24,0.01409387910239257
return_rolling_std_4,0.014085618898775465
SMA_slope_48,0.014078094317300227
close_position_24,0.013971302713386535
MACD_signal,0.013800700227914575
return_kurt_48,0.013564028791911653
target_lag_1,0.013419365491119661
volume_ratio_48,0.013338865370069897
close_lag_32,0.01316196366813216
price_volume_corr_24,0.013144953475668686
SMA_cross_8_24,0.013117658821897749
close_lag_8,0.012944636643965168
SMA_slope_12,0.012939371929124088
vol_ratio_12_48,0.012890447686686457
MFI,0.012874461443914242
sharpe_approx_48,0.0128315265656046
volatility_4,0.012799122413106545
momentum_48,0.012496221479317074
return_lag_32,0.012376285732103445
volatility_12,0.012336208962935302
volume_log,0.012299297412042165
