feature,importance
target_diff_1,35.2005336070559
target_diff_96,34.76586357888202
target_diff_24,25.36314840200619
target_diff_4,20.917982588097043
target_lag_96,6.4036410374224
return_1,4.800281802038165
target_lag_24,3.4171918181183836
target_lag_4,3.0858787050066705
log_return_1,2.6139799257507828
rsi_price_cross,1.2033257648543723
target_rolling_min_48,0.4265077175497254
target_rolling_min_12,0.30870787079036965
price_change_pct,0.2825789392488538
target_rolling_min_4,0.2705763683523106
high_low_ratio,0.25454862711312387
target_lag_2,0.24989579860042604
target_lag_1,0.24134212558234935
bb_width,0.2234802523596322
target_rolling_min_96,0.21621926891677035
gk_volatility,0.18341618691938466
target_rolling_mean_12,0.15848241013432585
target_rolling_median_4,0.1488109371877491
close_open_ratio,0.1371110634138475
target_rolling_range_4,0.13690793860669714
target_rolling_min_24,0.12371630383990873
high_close_ratio,0.09117738062896796
bb_lower,0.08340753500021947
target_rolling_std_96,0.07853498388746516
close_lag_1,0.07209642313596842
close_sma_ratio_96,0.06408525722564917
target_rolling_max_4,0.059968464403990396
target_rolling_mean_96,0.05723813833054692
target_rolling_std_4,0.05395308260095533
volume_ratio_24,0.05394212135084331
target_rolling_max_48,0.04763643283761532
return_96,0.04450275234069068
target_rolling_range_48,0.043713156040809054
target_rolling_max_96,0.04271109918593119
range_volatility_96,0.04027337223593008
target_rolling_max_24,0.039623590267291675
return_4,0.03953975568882995
target_rolling_skew_96,0.03839203791201662
close_lag_96,0.03396349632467244
target_rolling_median_12,0.031914697755397015
low_close_ratio,0.03075242543314971
close_lag_48,0.030658734140388333
target_rolling_range_96,0.02944830571519219
volume_lag_24,0.02854815822846657
momentum_ratio_12,0.027704333345916154
close_sma_ratio_48,0.02697986274546338
volatility_96,0.02612440345163236
momentum_volatility,0.026015825653271152
volatility_12,0.025736144023255747
target_rolling_range_24,0.025288594731314618
volume_lag_12,0.025172901784769053
volume_rolling_std_4,0.02485296714428742
body_size,0.024380699047259924
momentum_4,0.02376833967817582
volatility_24,0.023703503550282612
target_lag_6,0.02327628783586988
close_rolling_std_12,0.023219395241625307
return_rolling_std_96,0.022283165734947374
volume_ratio_4,0.02190043119119811
return_24,0.021561993311188132
target_rolling_std_24,0.021141172474207437
return_rolling_mean_96,0.020672799892976323
return_rolling_std_24,0.019834630198793946
lower_shadow,0.018910366522778332
range_volatility_24,0.01879012236567945
range_volatility_48,0.018629257801308086
target_rolling_kurt_24,0.01825902645134647
target_rolling_max_12,0.018218360514083543
price_change,0.017337613239033323
volume_lag_1,0.01692291029332878
atr_28,0.016365626722512516
price_volume,0.016305012488316173
target_rolling_mean_24,0.01614548889932621
roc_12,0.015943939889439207
close_rolling_std_48,0.015821556122460834
target_lag_8,0.01573038345604849
target_lag_16,0.015535887577030394
close_sma_ratio_24,0.015082086140771445
target_lag_3,0.014807978584810755
return_rolling_std_48,0.014438937634508875
volume_change,0.014324507727634384
target_lag_12,0.013933635038464232
momentum_ratio_4,0.013887396693633036
target_lag_72,0.012979382744259693
ema_12,0.012640096697875691
target_rolling_kurt_96,0.012401018331280156
target_rolling_median_96,0.011727218614339563
rsi_28,0.011615679527107403
target_rolling_skew_24,0.01157240226537315
sma_4,0.011177821965254964
return_rolling_mean_12,0.011045117243359881
close_lag_72,0.011033766574213288
day_of_month,0.010964520869606531
momentum_48,0.010921555112449965
volume_rolling_std_96,0.0105935079883821
volume_lag_2,0.010459476961834469
close_rolling_std_96,0.010132955419368983
close_rolling_std_4,0.00999203264608306
volume_log,0.009904359920109407
